Method,D,V,M,L,HT
Wave,0.07602349344560663,0.10184027815509948,-0.3640694585945127,1.13795844833608,82.78228501282418
Wave,-0.2777587489225294,0.11090314979408762,-0.4156462542898495,0.3728456780030635,29.975630216626243
Wave,-0.21337197590149876,0.07602261455079987,-0.275542051473717,0.42162000057021626,36.25389571730243
Wave,0.3093841085970883,0.169659396682804,-0.23599559236636422,0.5070683044516193,60.41743400276378
Wave,0.19226770099757215,0.12257245578646012,-0.07620542086952928,0.3453229171089429,35.522085313868786
Wave,-0.10052631737299955,0.14241526417536227,-0.3556640563742167,0.45516314770099914,53.269935963043885
Wave,-0.11750929327415635,0.08020023402462467,-0.42867131044019813,0.36672688690654764,34.28063596897775
Wave,-0.13957828525460222,0.10961941282921508,-0.20960333763753486,0.36673678619440836,28.7220820841683
Wave,-0.07044882836302073,0.11675563752428966,-0.49899497735083603,0.35550554655725825,28.591288574658673
Wave,0.09275578771097433,0.18462700560445705,-0.25555595985662266,0.45308767089629687,66.39271948638158
Wave,-0.13195934273569027,0.07148300940053001,-0.2698139956741011,0.3919109442341488,31.714718256406613
Wave,-0.3379588433787551,0.10307066967351937,-0.35835006593171714,0.2830519484232736,44.949801062742274
Wave,-0.1884617222310496,0.14640258672591125,-0.31549679729800856,0.4868466360325296,48.47344078066457
Wave,-0.2280308587096475,0.08281553104019138,-0.34896104792496213,0.44059908077259463,32.51288585115016
Wave,0.06343759037156205,0.08146620008196645,-0.3800725221203718,0.2918588866953215,37.505103467530326
Wave,0.294491461543213,0.3372101602365951,-0.23729152695292588,2.496830062274933,32.99039295228647
Wave,-0.05951903729783928,0.06069372008956658,-0.3833837038945162,0.3810165330795096,39.96651223589131
Wave,-0.40031036552813626,0.07552316535572799,-0.359015590008039,0.3379801981188276,40.43869306291344
Wave,-0.4004394730843175,0.05937572044493522,-0.31671027239065574,0.48242828492653955,29.8737623143517
Wave,0.05686448176648602,0.03170229825628419,-0.42342973869095757,0.3064886204373542,37.300995334558074
Wave,0.3786766865182166,0.1715337836021249,-0.15291171997112216,0.5756476238864311,38.394058064435285
Lopi,0.10478673410126677,0.08518411605227132,-0.16644351003770191,0.3937330303213486,58.431259625681896
Lopi,-0.48709777528581066,0.08927488995663986,-0.08965754182401635,0.4340182280028368,28.301332789590923
Lopi,-0.23523219541847623,0.05565472729582037,-0.2611365719233327,0.4400653290480047,37.00380792839921
Lopi,-0.5508713296912122,0.273457591240892,-0.10696584823650952,0.3496963322654452,34.52509649633237
Lopi,-0.179977663415642,0.05808922663149996,-0.1475723123310561,0.48084508064073056,51.521151469837356
Lopi,0.4203012130727012,0.1771208900374009,-0.04535066072396646,1.2756290313564056,83.17360106739825
Lopi,-0.26794566556961785,0.11689845214728514,-0.07932884806680532,0.5755874190810807,35.37060703025863
Lopi,-0.40883284269469666,0.12863709710817345,-0.011218378214614336,0.5785755728228881,34.69960589385594
Lopi,0.18001336674642116,0.1720875931061387,-0.28439989614675515,1.130649148983006,71.69683321291019
Lopi,-0.283713378374315,0.25547650517712295,-0.20886260510648977,0.4293523038424726,50.99603271198179
Lopi,0.31283063201686084,0.10839828091504089,-0.25581306368064866,1.0664282004237675,73.76289549166388
Lopi,-0.21253978831266207,0.12144936474023238,-0.17890712118140412,0.57008053563273,31.347758321624454
Lopi,0.29321571183430634,0.08917420226319155,-0.28750625598728907,0.2829552375717121,36.610684807746765
Lopi,-0.113971758007474,0.06007676763688452,-0.010932427757670761,1.1137424887408838,80.52055120548295
Lopi,-0.19771217135148061,0.18600851494589907,-0.2805665016548949,0.27561275820353576,50.51977141899433
Lopi,-0.2795604628851999,0.22578931253350953,-0.10227599836963489,1.1300399833481631,81.44001816274265
Lopi,0.21035605490098472,0.21161023435206722,-0.19691885132750353,0.2872748936253493,56.44306620463274
Lopi,0.1268715406622095,0.05696992247718119,-0.2957109104793227,0.2607592733876225,34.14783696623527
Lopi,-0.03931779830881736,0.17302294175963315,-0.2875294827304245,0.3182647876295909,47.42591931671747
Lopi,-0.6804921501874135,0.3286459368845021,-0.09606567090455127,0.39912620538328925,58.03116465680134
